PNI;y;x;województwo;powiat;gmina;nazwa placówki;kod pocztowy;miejscowoœæ;ulica;telefon;godziny pracy - opis;stan placówki;
232385;50.681888;16.608666;DOLNOŒL¥SKIE;dzier¿oniowski;Bielawa;UP Bielawa 1;58-260;Bielawa;ul. Piastowska 16;74-833-44-46;dni robocze: 08:00-18:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
556577;50.695499;16.631972;DOLNOŒL¥SKIE;dzier¿oniowski;Bielawa;FUP Bielawa 1;58-260;Bielawa;ul. Stefana ¯eromskiego 21;74-833-44-45 #jedn. nadrzêdna: UP Bielawa 1#tel.: 74-833-44-46;dni robocze: 09:30-16:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
232404;50.684805;16.621749;DOLNOŒL¥SKIE;dzier¿oniowski;Bielawa;UP Bielawa 4;58-263;Bielawa;ul. Jana III Sobieskiego 17;74-833-44-40;dni robocze: 08:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
233052;50.908527;14.975416;DOLNOŒL¥SKIE;zgorzelecki;Bogatynia;UP Bogatynia 1;59-920;Bogatynia;ul. Pocztowa 1;75-773-21-11;dni robocze: 08:00-18:00#soboty: 07:30-13:30#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
965644;50.942555;14.917444;DOLNOŒL¥SKIE;zgorzelecki;Bogatynia;FUP Bogatynia 1;59-916;Bogatynia;ul. Parkowa 2;75-778-42-08 #jedn. nadrzêdna: UP Bogatynia 1#tel.: 75-773-21-11;dni robocze: 09:00-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
233126;50.755000;16.205750;DOLNOŒL¥SKIE;wa³brzyski;Boguszów-Gorce;UP Boguszów-Gorce 1;58-370;Boguszów-Gorce;ul. Adama Mickiewicza 9;74-844-96-01;dni robocze: 08:00-18:00#soboty: 09:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
777002;50.765166;16.168166;DOLNOŒL¥SKIE;wa³brzyski;Boguszów-Gorce;FUP Boguszów-Gorce 1;58-371;Boguszów-Gorce;ul. Grunwaldzka 5;74-844-04-00 #jedn. nadrzêdna: UP Boguszów-Gorce 1#tel.: 74-844-96-01;dni robocze: 09:00-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
966047;51.361333;15.759388;DOLNOŒL¥SKIE;boles³awiecki;Gromadka;FUP Boles³awiec Œl¹ski 1;59-706;Gromadka;ul. 11 Listopada 31;75-738-24-06 #jedn. nadrzêdna: UP Boles³awiec Œl¹ski 1#tel.: 75-732-30-94;dni robocze: 09:00-16:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
560290;51.234400;15.657600;DOLNOŒL¥SKIE;boles³awiecki;Warta Boles³awiecka;FUP Boles³awiec Œl¹ski 1;59-722;Warta Boles³awiecka;Warta Boles³awiecka 21;75-738-95-76 #jedn. nadrzêdna: UP Boles³awiec Œl¹ski 1#tel.: 75-732-30-94;dni robocze: 12:15-15:35#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
968443;51.251520;15.577530;DOLNOŒL¥SKIE;boles³awiecki;Boles³awiec;FUP Boles³awiec Œl¹ski 1;59-702;Boles³awiec;ul. Stefana ¯eromskiego 31;75-644-45-90 #jedn. nadrzêdna: UP Boles³awiec Œl¹ski 1#tel.: 75-732-30-94;dni robocze: 11:00-17:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
233245;51.265194;15.569694;DOLNOŒL¥SKIE;boles³awiecki;Boles³awiec;UP Boles³awiec Œl¹ski 1;59-700;Boles³awiec;ul. Kaszubska 5;75-732-30-94;dni robocze: 07:00-20:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#Placówka przyjazna e-Commerce.#;;
233276;51.261861;15.571750;DOLNOŒL¥SKIE;boles³awiecki;Boles³awiec;UP Boles³awiec Œl¹ski 5;59-703;Boles³awiec;ul. Adama Asnyka 22;75-732-31-45;dni robocze: 08:00-18:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
233319;50.922100;16.101400;DOLNOŒL¥SKIE;jaworski;Bolków;UP Bolków;59-420;Bolków;ul. Kamiennogórska 17;75-741-35-54;dni robocze: 08:30-17:30#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
565002;51.273276;16.720279;DOLNOŒL¥SKIE;wo³owski;Brzeg Dolny;FUP Brzeg Dolny 1;56-120;Brzeg Dolny;ul. Zwyciêstwa 9;71-319-59-16 #jedn. nadrzêdna: UP Brzeg Dolny 1#tel.: 71-3195028;dni robocze: Pon.: 07:20-12:45 Wt.: 07:20-12:45 Œr.: 11:00-16:30 Czw.: 11:00-16:30 Pt.: 11:00-16:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
233838;51.263164;16.726062;DOLNOŒL¥SKIE;wo³owski;Brzeg Dolny;UP Brzeg Dolny 1;56-120;Brzeg Dolny;ul. Kolejowa 17;71-3195028;dni robocze: 08:00-17:00#soboty: 08:30-13:30#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
234912;50.299805;16.651944;DOLNOŒL¥SKIE;k³odzki;Bystrzyca K³odzka;UP Bystrzyca K³odzka 1;57-500;Bystrzyca K³odzka;ul. Henryka Sienkiewicza 4;74-811-12-06;dni robocze: 07:30-18:30#soboty: 09:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
235553;51.416300;15.906900;DOLNOŒL¥SKIE;polkowicki;Chocianów;UP Chocianów 1;59-140;Chocianów;ul. Pocztowa 12;76-841-25-28;dni robocze: 08:00-18:00#soboty: 08:15-14:15#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
235689;51.273400;15.932000;DOLNOŒL¥SKIE;legnicki;Chojnów;UP Chojnów 1;59-225;Chojnów;ul. Jaros³awa D¹browskiego 20;76-850-03-72;dni robocze: 07:00-19:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
579875;51.267715;15.946054;DOLNOŒL¥SKIE;legnicki;Chojnów;FUP Chojnów 1;59-225;Chojnów;ul. Genera³a W³adys³awa Sikorskiego 12;76-850-03-00 #jedn. nadrzêdna: UP Chojnów 1#tel.: 76-850-03-72;dni robocze: 10:00-14:45, 15:15-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
238226;50.403166;16.391250;DOLNOŒL¥SKIE;k³odzki;Duszniki-Zdrój;UP Duszniki-Zdrój;57-340;Duszniki-Zdrój;ul. Adama Mickiewicza 10;74-866-94-85;dni robocze: 08:00-18:00#soboty: 08:00-13:15#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
238426;50.728916;16.650583;DOLNOŒL¥SKIE;dzier¿oniowski;Dzier¿oniów;UP Dzier¿oniów 1;58-200;Dzier¿oniów;Rynek Rynek 38;74-831-36-00;dni robocze: 08:00-18:45#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
238433;50.725916;16.639472;DOLNOŒL¥SKIE;dzier¿oniowski;Dzier¿oniów;UP Dzier¿oniów 2;58-203;Dzier¿oniów;ul. Henryka Sienkiewicza 22;  74-830-90-47;dni robocze: 09:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
965675;50.722472;16.836888;DOLNOŒL¥SKIE;dzier¿oniowski;Niemcza;FUP Dzier¿oniów 2;58-230;Niemcza;ul. Genera³a Karola Œwierczewskiego 7;74-837-62-27 #jedn. nadrzêdna: UP Dzier¿oniów 2#tel.:   74-830-90-47;dni robocze: 09:15-16:15#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
976832;50.796166;16.867027;DOLNOŒL¥SKIE;dzier¿oniowski;£agiewniki;FUP Dzier¿oniów 2;58-210;£agiewniki;ul. S³owiañska 4;74-893-94-31 #jedn. nadrzêdna: UP Dzier¿oniów 2#tel.:   74-830-90-47;dni robocze: 09:00-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
238440;50.737138;16.652833;DOLNOŒL¥SKIE;dzier¿oniowski;Dzier¿oniów;UP Dzier¿oniów 5;58-204;Dzier¿oniów;Osiedle Jasne 23;74-831-27-18;dni robocze: 08:00-18:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
961323;51.648356;16.111386;DOLNOŒL¥SKIE;g³ogowski;G³ogów;FUP G³ogów 2;67-206;G³ogów;ul. Jagielloñska 55;76-831-36-13 #jedn. nadrzêdna: UP G³ogów 2#tel.: 76-831-36-01;dni robocze: 11:15-18:15#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#;;
961309;51.650879;16.073653;DOLNOŒL¥SKIE;g³ogowski;G³ogów;FUP G³ogów 2;67-205;G³ogów;ul. GwiaŸdzista 27a;76-831-36-11 #jedn. nadrzêdna: UP G³ogów 2#tel.: 76-831-36-01;dni robocze: 09:00-19:00#soboty: 09:30-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
961297;51.650800;16.059630;DOLNOŒL¥SKIE;g³ogowski;G³ogów;FUP G³ogów 2;67-203;G³ogów;ul. Galileusza 18a;76-831-36-10 #jedn. nadrzêdna: UP G³ogów 2#tel.: 76-831-36-01;dni robocze: 10:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
966654;51.655500;16.088100;DOLNOŒL¥SKIE;g³ogowski;G³ogów;FUP G³ogów 2;67-202;G³ogów;ul. Budowlanych 12;76-831-36-09 #jedn. nadrzêdna: UP G³ogów 2#tel.: 76-831-36-01;dni robocze: 10:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#;;
965668;51.650684;16.099554;DOLNOŒL¥SKIE;g³ogowski;G³ogów;FUP G³ogów 2;67-200;G³ogów;ul. Rycerska 27a;76-831-36-00 #jedn. nadrzêdna: UP G³ogów 2#tel.: 76-831-36-01;dni robocze: 09:00-19:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
240136;51.668600;16.080800;DOLNOŒL¥SKIE;g³ogowski;G³ogów;UP G³ogów 2;67-210;G³ogów;ul. 1 Maja 1;76-831-36-01;dni robocze: 07:00-20:00#soboty: 08:00-15:00#niedziele i œwiêta: placówka nieczynna#;;
560069;51.744300;16.033800;DOLNOŒL¥SKIE;g³ogowski;Kotla;FUP G³ogów 2;67-210;Kotla;ul. Szkolna 1;76-831-36-20 #jedn. nadrzêdna: UP G³ogów 2#tel.: 76-831-36-01;dni robocze: Pon.: 10:00-13:30 Wt.: 10:00-13:30 Œr.: 10:00-13:30 Czw.: 10:00-13:30 Pt.: 13:15-15:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
560395;51.675800;15.984100;DOLNOŒL¥SKIE;g³ogowski;¯ukowice;FUP G³ogów 2;67-210;¯ukowice;¯ukowice 46;76-831-36-21 #jedn. nadrzêdna: UP G³ogów 2#tel.: 76-831-36-01;dni robocze: Pon.: 10:30-14:00 Wt.: 10:30-14:00 Œr.: 10:30-14:00 Czw.: 10:30-14:00 Pt.: 15:00-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
240167;51.659300;16.078800;DOLNOŒL¥SKIE;g³ogowski;G³ogów;UP G³ogów 6;67-204;G³ogów;ul. Gustawa Morcinka 8;76-831-36-12;dni robocze: 10:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#;;
241146;51.669938;16.539475;DOLNOŒL¥SKIE;górowski;Góra;UP Góra Œl¹ska;56-200;Góra;ul. Podwale 33;65-543-23-19;dni robocze: 09:00-19:00#soboty: 07:45-12:45#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
976856;51.017048;15.504541;DOLNOŒL¥SKIE;lwówecki;Lubomierz;FUP Gryfów Œl¹ski;59-623;Lubomierz;ul. Majowa 4;75-783-36-20 #jedn. nadrzêdna: UP Gryfów Œl¹ski#tel.: 75-781-32-23;dni robocze: 08:00-15:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
241872;51.031972;15.422500;DOLNOŒL¥SKIE;lwówecki;Gryfów Œl¹ski;UP Gryfów Œl¹ski;59-620;Gryfów Œl¹ski;ul. Kolejowa 43;75-781-32-23;dni robocze: 08:00-18:00#soboty: 08:30-14:30#niedziele i œwiêta: placówka nieczynna#;;
776359;51.116700;16.330700;DOLNOŒL¥SKIE;jaworski;W¹dro¿e Wielkie;FUP Jawor 1;59-430;W¹dro¿e Wielkie;W¹dro¿e Wielkie 64;76-850-03-02 #jedn. nadrzêdna: UP Jawor 1#tel.: 76-850-03-81;dni robocze: Pon.: 09:30-15:00 Wt.: 09:30-15:00 Œr.: 09:30-15:00 Czw.: 09:30-15:00 Pt.: 10:45-15:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
243311;51.054000;16.197000;DOLNOŒL¥SKIE;jaworski;Jawor;UP Jawor 1;59-400;Jawor;ul. Kolejowa 13;76-850-03-81;dni robocze: 08:00-19:30#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka przyjazna e-Commerce.#;;
243454;50.731083;16.342250;DOLNOŒL¥SKIE;wa³brzyski;Jedlina-Zdrój;UP Jedlina-Zdrój;58-330;Jedlina-Zdrój;ul. Warszawska 6;74-845-52-96;dni robocze: 12:00-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
965651;50.685472;16.372722;DOLNOŒL¥SKIE;wa³brzyski;G³uszyca;FUP Jedlina-Zdrój;58-340;G³uszyca;ul. Grunwaldzka 13;74-845-64-11 #jedn. nadrzêdna: UP Jedlina-Zdrój#tel.: 74-845-52-96;dni robocze: 09:00-16:00#soboty: 09:15-13:15#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
590591;50.725333;16.348583;DOLNOŒL¥SKIE;wa³brzyski;Jedlina-Zdrój;FUP Jedlina-Zdrój;58-330;Jedlina-Zdrój;ul. Piastowska 40;74-845-40-09 #jedn. nadrzêdna: UP Jedlina-Zdrój#tel.: 74-845-52-96;dni robocze: 09:30-16:30#soboty: 09:30-13:30#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
243559;51.031450;17.316977;DOLNOŒL¥SKIE;o³awski;Jelcz-Laskowice;UP Jelcz-Laskowice 4;55-220;Jelcz-Laskowice;ul. Techników 12;71-318-70-22;dni robocze: 08:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
775837;51.046300;17.245800;DOLNOŒL¥SKIE;wroc³awski;Czernica;FUP Jelcz-Laskowice 4;55-004;Czernica;ul. Wojska Polskiego 8;71-318-71-06 #jedn. nadrzêdna: UP Jelcz-Laskowice 4#tel.: 71-318-70-22;dni robocze: Pon.: 07:50-14:15 Wt.: 07:50-14:15 Œr.: 10:45-17:00 Czw.: 10:45-17:00 Pt.: 10:45-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
737873;51.075400;17.172500;DOLNOŒL¥SKIE;wroc³awski;Czernica;FUP Jelcz-Laskowice 4;55-220;Kamieniec Wroc³awski;ul. Spó³dzielcza 4;71-318-71-11 #jedn. nadrzêdna: UP Jelcz-Laskowice 4#tel.: 71-318-70-22;dni robocze: Pon.: 08:00-14:30 Wt.: 08:00-14:30 Œr.: 11:00-17:15 Czw.: 11:00-17:15 Pt.: 11:00-17:15#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
243566;51.021997;17.315447;DOLNOŒL¥SKIE;o³awski;Jelcz-Laskowice;UP Jelcz-Laskowice 5;55-221;Jelcz-Laskowice;ul. Wroc³awska 5;71-318-81-61;dni robocze: Pon.: 07:45-14:45 Wt.: 07:45-14:45 Œr.: 11:30-18:30 Czw.: 11:30-18:30 Pt.: 11:30-18:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
243573;50.902527;15.741611;DOLNOŒL¥SKIE;Jelenia Góra;Jelenia Góra;UP Jelenia Góra 1;58-500;Jelenia Góra;ul. Pocztowa 9/10;75-752-35-30;dni robocze: 07:00-21:00#soboty: 09:00-15:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
243609;50.902921;15.734069;DOLNOŒL¥SKIE;Jelenia Góra;Jelenia Góra;UP Jelenia Góra 7;58-505;Jelenia Góra;Plac Ratuszowy 56;75-752-61-32;dni robocze: 08:00-18:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
243616;50.909771;15.748429;DOLNOŒL¥SKIE;Jelenia Góra;Jelenia Góra;UP Jelenia Góra 8;58-506;Jelenia Góra;ul. Ludomira Ró¿yckiego 4a/1;75-754-30-78;dni robocze: 08:00-19:00#soboty: 08:30-15:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
243623;50.864749;15.684142;DOLNOŒL¥SKIE;Jelenia Góra;Jelenia Góra;UP Jelenia Góra 9;58-560;Jelenia Góra;Plac Piastowski 6;75-755-12-19;dni robocze: 08:00-20:00#soboty: 08:00-14:30#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
560252;50.916300;15.571800;DOLNOŒL¥SKIE;jeleniogórski;Stara Kamienica;FUP Jelenia Góra 9;58-512;Stara Kamienica;Stara Kamienica 82;75-751-42-61 #jedn. nadrzêdna: UP Jelenia Góra 9#tel.: 75-755-12-19;dni robocze: 08:35-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
961316;50.824969;15.686331;DOLNOŒL¥SKIE;jeleniogórski;Podgórzyn;FUP Jelenia Góra 9;58-562;Podgórzyn;ul. ¯o³nierska 17;75-762-14-93 #jedn. nadrzêdna: UP Jelenia Góra 9#tel.: 75-755-12-19;dni robocze: 07:50-14:50#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
243647;50.848901;15.643544;DOLNOŒL¥SKIE;Jelenia Góra;Jelenia Góra;UP Jelenia Góra 12;58-570;Jelenia Góra;ul. Fryderyka Chopina 10;75-755-37-30;dni robocze: 08:00-18:00#soboty: 08:00-15:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
243661;50.920400;15.756800;DOLNOŒL¥SKIE;Jelenia Góra;Jelenia Góra;UP Jelenia Góra 14;58-508;Jelenia Góra;ul. Tadeusza Sygietyñskiego 8;75-754-28-68;dni robocze: 08:00-19:00#soboty: 09:00-15:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
968450;50.932300;15.744600;DOLNOŒL¥SKIE;jeleniogórski;Je¿ów Sudecki;FUP Jelenia Góra 14;58-521;Je¿ów Sudecki;ul. D³uga 30;75-752-48-85 #jedn. nadrzêdna: UP Jelenia Góra 14#tel.: 75-754-28-68;dni robocze: 09:40-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
965732;50.850861;15.591666;DOLNOŒL¥SKIE;jeleniogórski;Piechowice;FUP Jelenia Góra 14;58-573;Piechowice;ul. Adama Mickiewicza 7;75-761-23-02 #jedn. nadrzêdna: UP Jelenia Góra 14#tel.: 75-754-28-68;dni robocze: Pon.: 07:50-14:50 Wt.: 07:50-14:50 Œr.: 10:40-17:40 Czw.: 10:40-17:40 Pt.: 10:40-17:40#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
560245;50.874000;15.920000;DOLNOŒL¥SKIE;jeleniogórski;Janowice Wielkie;FUP Jelenia Góra 14;58-520;Janowice Wielkie;ul. Kolejowa 4;75-751-51-20 #jedn. nadrzêdna: UP Jelenia Góra 14#tel.: 75-754-28-68;dni robocze: 10:40-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
778786;50.445083;16.876944;DOLNOŒL¥SKIE;z¹bkowicki;Z³oty Stok;FUP Kamieniec Z¹bkowicki;57-250;Z³oty Stok;ul. 3 Maja 4;74-817-51-02 #jedn. nadrzêdna: UP Kamieniec Z¹bkowicki#tel.: 74-817-30-90;dni robocze: Pon.: 10:00-15:00 Wt.: 10:00-15:00 Œr.: 10:00-15:00 Czw.: 12:00-17:00 Pt.: 12:00-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
244295;50.522999;16.873638;DOLNOŒL¥SKIE;z¹bkowicki;Kamieniec Z¹bkowicki;UP Kamieniec Z¹bkowicki;57-230;Kamieniec Z¹bkowicki;ul. Z³otostocka 21;74-817-30-90;dni robocze: 08:30-17:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
244307;50.783900;16.026200;DOLNOŒL¥SKIE;kamiennogórski;Kamienna Góra;UP Kamienna Góra 1;58-400;Kamienna Góra;ul. Papie¿a Jana Paw³a II 31;75-744-45-52;dni robocze: 07:00-19:00#soboty: 08:00-14:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
961280;50.849470;16.016479;DOLNOŒL¥SKIE;kamiennogórski;Marciszów;FUP Kamienna Góra 1;58-410;Marciszów;ul. G³ówna 102;75-741-02-13 #jedn. nadrzêdna: UP Kamienna Góra 1#tel.: 75-744-45-52;dni robocze: 10:15-14:45#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
965725;50.707944;16.002388;DOLNOŒL¥SKIE;kamiennogórski;Lubawka;FUP Kamienna Góra 1;58-420;Lubawka;ul. Dworcowa 7;75-741-14-44 #jedn. nadrzêdna: UP Kamienna Góra 1#tel.: 75-744-45-52;dni robocze: 09:30-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
244569;50.775550;15.745897;DOLNOŒL¥SKIE;jeleniogórski;Karpacz;UP Karpacz 1;58-540;Karpacz;ul. Konstytucji 3 Maja 23;75-761-92-00;dni robocze: 08:00-18:00#soboty: 08:30-14:30#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
245098;51.031647;16.765100;DOLNOŒL¥SKIE;wroc³awski;K¹ty Wroc³awskie;UP K¹ty Wroc³awskie;55-080;K¹ty Wroc³awskie;ul. 1 Maja 20;71-364-66-14;dni robocze: 09:00-19:00#soboty: 08:00-13:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
965844;51.072058;16.881138;DOLNOŒL¥SKIE;wroc³awski;K¹ty Wroc³awskie;FUP K¹ty Wroc³awskie;55-070;Smolec;ul. Dworcowa 2;71-364-66-01 #jedn. nadrzêdna: UP K¹ty Wroc³awskie#tel.: 71-364-66-14;dni robocze: Pon.: 08:45-15:00 Wt.: 08:45-15:00 Œr.: 12:15-18:30 Czw.: 12:15-18:30 Pt.: 12:15-18:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
567415;50.976400;16.650100;DOLNOŒL¥SKIE;wroc³awski;Mietków;FUP K¹ty Wroc³awskie;55-080;Mietków;ul. Kolejowa 27;71-364-66-02 #jedn. nadrzêdna: UP K¹ty Wroc³awskie#tel.: 71-364-66-14;dni robocze: Pon.: 08:05-13:30 Wt.: 08:05-13:30 Œr.: 10:35-16:00 Czw.: 10:35-16:00 Pt.: 10:35-16:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
245867;50.435833;16.650277;DOLNOŒL¥SKIE;k³odzki;K³odzko;UP K³odzko 1;57-300;K³odzko;Plac W³adys³awa Jagie³³y 2;74-867-29-30;dni robocze: 07:30-19:30#soboty: 08:00-15:00#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#Placówka przyjazna e-Commerce.#;;
769525;50.359194;16.722138;DOLNOŒL¥SKIE;k³odzki;K³odzko;FUP K³odzko 1;57-360;O³drzychowice K³odzkie;ul. K³odzka 48;74-868-92-75 #jedn. nadrzêdna: UP K³odzko 1#tel.: 74-867-29-30;dni robocze: 08:30-14:30#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
563556;50.862087;16.866095;DOLNOŒL¥SKIE;wroc³awski;Jordanów Œl¹ski;FUP Kobierzyce;55-040;Jordanów Œl¹ski;ul. Pocztowa 5;71-364-66-08 #jedn. nadrzêdna: UP Kobierzyce#tel.: 71-364-66-10;dni robocze: 08:50-14:00#soboty: placówka nieczynna#niedziele i œwiêta: placówka nieczynna#Placówka dostosowana do potrzeb osób niepe³nosprawnych.#;;
